2022-08-24T19:15:39.6675212 500 : [{"timestamp":"2022-08-25T02:15:39.627+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [Select * FROM transfer]; The column index is out of range: 1, number of columns: 0.; nested exception is org.postgresql.util.PSQLException: The column index is out of range: 1, number of columns: 0.","path":"/tenmo/review_transfers"}]
2022-08-24T21:25:22.2377829 404 : [{"timestamp":"2022-08-25T04:25:22.165+00:00","status":404,"error":"Not Found","message":"No message available","path":"/tenmo/review_transfers"}]
2022-08-24T21:36:42.7259615 500 : [{"timestamp":"2022-08-25T04:36:42.691+00:00","status":500,"error":"Internal Server Error","message":"Missing URI template variable 'transferId' for method parameter of type long","path":"/tenmo/transfers/3001"}]
2022-08-24T21:36:49.8915402 500 : [{"timestamp":"2022-08-25T04:36:49.888+00:00","status":500,"error":"Internal Server Error","message":"Missing URI template variable 'transferId' for method parameter of type long","path":"/tenmo/transfers/3002"}]
2022-08-24T21:42:32.8099201 500 : [{"timestamp":"2022-08-25T04:42:32.782+00:00","status":500,"error":"Internal Server Error","message":"Missing URI template variable 'transferId' for method parameter of type long","path":"/tenmo/transfers/3001"}]
2022-08-24T21:44:34.5001601 500 : [{"timestamp":"2022-08-25T04:44:34.468+00:00","status":500,"error":"Internal Server Error","message":"Missing URI template variable 'transferId' for method parameter of type long","path":"/tenmo/transfers/3001"}]
2022-08-24T21:49:33.3756994 500 : [{"timestamp":"2022-08-25T04:49:33.352+00:00","status":500,"error":"Internal Server Error","message":"Invalid cursor position; nested exception is java.sql.SQLException: Invalid cursor position","path":"/tenmo/transfers/3001"}]
2022-08-24T21:53:53.1359724 500 : [{"timestamp":"2022-08-25T04:53:53.097+00:00","status":500,"error":"Internal Server Error","message":"Missing URI template variable 'transferId' for method parameter of type long","path":"/tenmo/transfers/3001"}]
2022-08-24T21:56:15.4264496 500 : [{"timestamp":"2022-08-25T04:56:15.393+00:00","status":500,"error":"Internal Server Error","message":"Invalid cursor position; nested exception is java.sql.SQLException: Invalid cursor position","path":"/tenmo/transfers/3001"}]
2022-08-24T21:57:11.2099171 401 : [no body]
2022-08-24T21:57:27.503257 500 : [{"timestamp":"2022-08-25T04:57:27.497+00:00","status":500,"error":"Internal Server Error","message":"Invalid cursor position; nested exception is java.sql.SQLException: Invalid cursor position","path":"/tenmo/transfers/3002"}]
2022-08-24T21:57:31.4719225 500 : [{"timestamp":"2022-08-25T04:57:31.469+00:00","status":500,"error":"Internal Server Error","message":"Invalid cursor position; nested exception is java.sql.SQLException: Invalid cursor position","path":"/tenmo/transfers/3001"}]
2022-08-24T21:57:35.2864618 500 : [{"timestamp":"2022-08-25T04:57:35.281+00:00","status":500,"error":"Internal Server Error","message":"Index -1 out of bounds for length 100","path":"/tenmo/transfers/1002"}]
2022-08-24T21:57:40.0945287 500 : [{"timestamp":"2022-08-25T04:57:40.091+00:00","status":500,"error":"Internal Server Error","message":"Index -1 out of bounds for length 100","path":"/tenmo/transfers/1004"}]
